ID,KPI,OKR
B.KPI.1,3 emails sent selling individual softsensor,Convert technical capacity into real economic contact
B.KPI.2,3 emails sent selling industrial softsensor,Convert technical capacity into real economic contact
B.KPI.3,3 emails sent selling commercial softsensor,Convert technical capacity into real economic contact
B.KPI.4,3 job applications for analyst positions sent,Convert technical capacity into real economic contact
