ID,KPI,OKR
A.KPI.1,7 km completed,Maintain minimum daily physical capacity
A.KPI.2,100 calisthenics reps,Maintain minimum daily physical capacity
A.KPI.3,Dead hang ≥ 200 seconds,Maintain minimum daily physical capacity
A.KPI.4,Running warmup performed,Maintain minimum daily physical capacity
A.KPI.5,Running stretching performed,Maintain minimum daily physical capacity
A.KPI.6,Calisthenics warmup performed,Maintain minimum daily physical capacity
A.KPI.7,Calisthenics stretching performed,Maintain minimum daily physical capacity
A.KPI.8,Hanging knee raises ≥ 100 reps,Maintain minimum daily physical capacity
